Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_027.jpg;15;0;0;0.932129;98.91599;84.79655;1.014997;232.0679;0.1048179
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_069.jpg;15;0;0;0.9296557;98.89702;84.76603;0.9383984;232.7035;0.1408397
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_111.jpg;15;0;0;0.9271323;98.87854;84.73557;0.8502026;233.334;0.1823215
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_152.jpg;15;0;0;0.9245405;98.86053;84.70512;0.7528209;233.9597;0.228842
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_194.jpg;15;0;0;0.9218811;98.84298;84.6747;0.6484843;234.5812;0.2798518
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_236.jpg;15;0;0;0.9191585;98.82586;84.64426;0.5392923;235.1991;0.3347469
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_278.jpg;15;0;0;0.9163758;98.80094;84.59853;0.3705582;236.1205;0.4229051
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_320.jpg;15;0.0218778;0;0.9135379;98.78495;84.56818;0.252047;236.7616;0.484629
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_361.jpg;15;0.1465464;0;0.913787;98.76917;84.53749;0.1421599;237.4687;0.5476037
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_402.jpg;13.40092;0.2734851;0;0.9143409;98.75341;84.50649;0.04234502;238.1238;0.6070688
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_444.jpg;11.53509;0.3978741;0;0.9211292;98.73727;84.47473;359.9642;238.6397;0.6592863
